Method,Metric,Mean,CI_lo,CI_hi,CI_str
Random,P@3,0.2749,0.2565,0.2931,0.2749 [0.2565–0.2931]
Random,P@5,0.2693,0.255,0.2836,0.2693 [0.2550–0.2836]
Random,P@10,0.2559,0.2441,0.2674,0.2559 [0.2441–0.2674]
Random,MRR,0.4956,0.471,0.5207,0.4956 [0.4710–0.5207]
Jaccard (raw),P@3,0.2452,0.2301,0.2596,0.2452 [0.2301–0.2596]
Jaccard (raw),P@5,0.252,0.2405,0.2633,0.2520 [0.2405–0.2633]
Jaccard (raw),P@10,0.2479,0.2371,0.2598,0.2479 [0.2371–0.2598]
Jaccard (raw),MRR,0.4556,0.434,0.4781,0.4556 [0.4340–0.4781]
Technical,P@3,0.8499,0.8297,0.8704,0.8499 [0.8297–0.8704]
Technical,P@5,0.8286,0.8091,0.8491,0.8286 [0.8091–0.8491]
Technical,P@10,0.7987,0.7798,0.8185,0.7987 [0.7798–0.8185]
Technical,MRR,0.9153,0.8997,0.9299,0.9153 [0.8997–0.9299]
Structural,P@3,0.4485,0.4249,0.4696,0.4485 [0.4249–0.4696]
Structural,P@5,0.4093,0.3893,0.4274,0.4093 [0.3893–0.4274]
Structural,P@10,0.4036,0.3881,0.4194,0.4036 [0.3881–0.4194]
Structural,MRR,0.6378,0.6109,0.6625,0.6378 [0.6109–0.6625]
Semantic (Ontology),P@3,0.8983,0.8825,0.9133,0.8983 [0.8825–0.9133]
Semantic (Ontology),P@5,0.9036,0.8877,0.9201,0.9036 [0.8877–0.9201]
Semantic (Ontology),P@10,0.8974,0.8819,0.9127,0.8974 [0.8819–0.9127]
Semantic (Ontology),MRR,0.9467,0.9332,0.959,0.9467 [0.9332–0.9590]
Hybrid,P@3,0.9521,0.9388,0.9629,0.9521 [0.9388–0.9629]
Hybrid,P@5,0.9511,0.9378,0.9619,0.9511 [0.9378–0.9619]
Hybrid,P@10,0.9433,0.9302,0.9542,0.9433 [0.9302–0.9542]
Hybrid,MRR,0.976,0.9664,0.984,0.9760 [0.9664–0.9840]
Euclidean,P@3,0.857,0.8382,0.8758,0.8570 [0.8382–0.8758]
Euclidean,P@5,0.8418,0.8244,0.8582,0.8418 [0.8244–0.8582]
Euclidean,P@10,0.8042,0.7878,0.8205,0.8042 [0.7878–0.8205]
Euclidean,MRR,0.9304,0.9164,0.9441,0.9304 [0.9164–0.9441]
